days_from_event,Sad,Anx,Anger,Negemo,Posemo,Stress
-4,,1.0,,1.0,4,
-3,1.0,,1.0,2.0,1,
-2,,,,1.0,1,
0,,,,,1,
1,,,,,5,
2,1.0,,,1.0,1,
3,,,,1.0,4,
4,,,,,2,
5,,,1.0,1.0,2,
6,,,,,2,
7,,,1.0,1.0,1,
8,,1.0,,1.0,2,
10,,,,,2,
12,1.0,,9.0,10.0,5,
13,1.0,3.0,9.0,17.0,4,
14,1.0,,9.0,11.0,5,
15,1.0,4.0,23.0,28.0,20,1.0
16,4.0,3.0,24.0,33.0,12,
17,1.0,3.0,23.0,27.0,8,1.0
18,4.0,4.0,15.0,26.0,22,1.0
19,11.0,1.0,21.0,33.0,14,2.0
20,20.0,16.0,65.0,116.0,84,13.0
21,30.0,19.0,69.0,135.0,86,10.0
22,45.0,59.0,174.0,274.0,214,10.0
23,86.0,125.0,515.0,706.0,455,62.0
24,79.0,74.0,645.0,839.0,837,36.0
25,153.0,93.0,710.0,981.0,1056,38.0
26,227.0,106.0,1325.0,1666.0,1839,54.0
27,145.0,98.0,916.0,1267.0,1643,50.0
28,77.0,50.0,473.0,652.0,732,53.0
29,180.0,84.0,630.0,964.0,943,83.0
30,136.0,100.0,802.0,1156.0,1104,69.0
31,86.0,65.0,373.0,577.0,548,41.0
32,72.0,80.0,427.0,612.0,473,36.0
33,57.0,36.0,303.0,410.0,332,17.0
34,66.0,20.0,146.0,269.0,210,25.0
35,45.0,21.0,92.0,221.0,130,29.0
36,49.0,12.0,100.0,240.0,213,22.0
37,28.0,10.0,90.0,146.0,127,7.0
38,18.0,11.0,71.0,110.0,104,10.0
39,13.0,4.0,52.0,91.0,92,10.0
40,15.0,8.0,73.0,109.0,73,5.0
41,16.0,11.0,69.0,95.0,79,5.0
42,13.0,4.0,47.0,73.0,54,5.0
43,17.0,5.0,51.0,103.0,171,4.0
44,74.0,32.0,190.0,353.0,223,12.0
45,46.0,82.0,877.0,1104.0,586,43.0
46,45.0,40.0,397.0,521.0,278,27.0
47,12.0,16.0,94.0,139.0,112,4.0
48,9.0,16.0,35.0,67.0,66,1.0
49,5.0,6.0,30.0,47.0,58,2.0
50,5.0,3.0,47.0,62.0,44,
51,9.0,9.0,28.0,55.0,54,4.0
52,5.0,5.0,13.0,28.0,32,
53,7.0,2.0,17.0,34.0,28,2.0
54,53.0,18.0,112.0,196.0,119,15.0
55,21.0,8.0,29.0,68.0,42,10.0
56,3.0,1.0,16.0,27.0,25,
57,42.0,12.0,84.0,130.0,84,3.0
58,29.0,,40.0,59.0,32,
59,11.0,2.0,37.0,51.0,24,4.0
60,17.0,,47.0,60.0,27,
61,6.0,5.0,37.0,63.0,38,
62,3.0,1.0,19.0,23.0,16,
63,5.0,,26.0,28.0,18,1.0
64,2.0,2.0,13.0,21.0,26,1.0
65,,1.0,7.0,14.0,16,
66,3.0,1.0,32.0,38.0,23,1.0
67,1.0,1.0,11.0,17.0,12,1.0
68,,2.0,2.0,13.0,12,1.0
69,,,4.0,5.0,6,
70,3.0,,4.0,8.0,7,
71,2.0,,7.0,12.0,9,1.0
72,,1.0,12.0,14.0,18,
73,1.0,,3.0,4.0,9,
74,,3.0,2.0,6.0,5,2.0
75,2.0,,15.0,21.0,23,
76,6.0,6.0,21.0,40.0,28,2.0
77,19.0,,7.0,31.0,37,1.0
78,4.0,,7.0,17.0,9,
79,5.0,5.0,50.0,64.0,21,
80,7.0,6.0,32.0,48.0,27,1.0
81,3.0,6.0,37.0,64.0,159,18.0
82,12.0,13.0,76.0,113.0,61,45.0
83,4.0,9.0,17.0,36.0,16,5.0
84,1.0,3.0,13.0,20.0,19,2.0
85,3.0,3.0,17.0,27.0,25,2.0
86,2.0,4.0,12.0,17.0,16,
87,1.0,,3.0,9.0,9,
88,3.0,,17.0,28.0,18,1.0
89,,,11.0,15.0,10,3.0
90,3.0,,4.0,12.0,13,
